iter	Passed	Remaining
0	5	5109
1	9	4669
2	13	4358
3	16	4146
4	21	4266
5	25	4181
6	28	4095
7	33	4159
8	36	4060
9	40	4006
10	43	3949
11	47	3885
12	51	3877
13	54	3816
14	56	3741
15	60	3736
16	63	3679
17	66	3613
18	69	3598
19	72	3551
20	75	3499
21	78	3495
22	81	3472
23	84	3434
24	87	3424
25	90	3402
26	93	3376
27	96	3365
28	99	3342
29	102	3322
30	106	3328
31	109	3318
32	112	3292
33	115	3291
34	118	3276
35	121	3255
36	125	3254
37	128	3243
38	130	3221
39	133	3209
40	136	3202
41	139	3185
42	142	3165
43	145	3168
44	148	3152
45	151	3136
46	155	3144
47	158	3138
48	161	3126
49	164	3127
50	167	3113
51	169	3098
52	173	3098
53	176	3089
54	179	3077
55	182	3075
56	185	3067
57	188	3055
58	191	3051
59	194	3047
60	197	3037
61	202	3059
62	205	3057
63	208	3049
64	212	3051
65	214	3042
66	217	3032
67	221	3042
68	225	3040
69	228	3032
70	231	3027
71	234	3027
72	239	3042
73	243	3042
74	246	3036
75	249	3037
76	252	3031
77	255	3021
78	258	3017
79	262	3014
80	265	3013
81	269	3013
82	272	3010
83	275	3007
84	278	3001
85	281	2994
86	286	3009
87	290	3014
88	294	3016
89	297	3012
90	300	3005
91	304	3007
92	308	3005
93	311	3004
94	315	3005
95	318	3000
96	322	3004
97	326	3006
98	330	3004
99	333	3003
100	337	3003
101	344	3032
102	350	3049
103	355	3060
104	359	3063
105	364	3073
106	368	3076
107	373	3084
108	377	3089
109	383	3100
110	388	3109
111	391	3103
112	395	3104
113	398	3097
114	401	3091
115	404	3083
116	408	3080
117	413	3092
118	418	3099
119	422	3099
120	426	3096
121	434	3129
122	440	3139
123	444	3137
124	448	3138
125	451	3133
126	455	3130
127	458	3125
128	461	3116
129	464	3107
130	467	3102
131	470	3093
132	473	3084
133	476	3080
134	480	3076
135	483	3068
136	486	3062
137	489	3055
138	491	3045
139	494	3040
140	497	3031
141	500	3023
142	503	3019
143	506	3013
144	509	3005
145	512	2999
146	515	2993
147	518	2985
148	521	2976
149	524	2972
150	527	2967
151	530	2959
152	533	2954
153	536	2949
154	539	2942
155	543	2939
156	546	2933
157	549	2925
158	552	2920
159	554	2913
160	557	2906
161	560	2901
162	563	2894
163	566	2887
164	569	2879
165	572	2874
166	574	2867
167	577	2860
168	580	2856
169	583	2850
170	586	2845
171	590	2841
172	593	2834
173	595	2827
174	598	2821
175	601	2817
176	605	2814
177	608	2809
178	611	2803
179	614	2798
180	618	2796
181	620	2790
182	623	2783
183	626	2778
184	629	2773
185	632	2767
186	635	2761
187	638	2757
188	641	2752
189	644	2745
190	647	2741
191	650	2735
192	652	2729
193	656	2726
194	658	2719
195	661	2713
196	664	2709
197	667	2704
198	670	2699
199	673	2693
200	676	2688
201	679	2683
202	681	2676
203	685	2673
204	688	2668
205	690	2662
206	693	2658
207	696	2652
208	699	2648
209	703	2645
210	706	2641
211	709	2636
212	712	2631
213	715	2628
214	718	2623
215	721	2619
216	724	2615
217	727	2611
218	730	2605
219	733	2601
220	736	2595
221	739	2590
222	742	2587
223	745	2583
224	748	2577
225	751	2574
226	754	2568
227	757	2563
228	760	2560
229	763	2555
230	766	2550
231	769	2547
232	772	2542
233	776	2541
234	779	2539
235	783	2536
236	786	2530
237	789	2527
238	792	2523
239	795	2517
240	799	2516
241	802	2513
242	805	2508
243	808	2505
244	812	2502
245	815	2498
246	818	2496
247	821	2491
248	824	2486
249	827	2482
250	830	2477
251	833	2474
252	836	2470
253	839	2466
254	842	2461
255	845	2457
256	848	2453
257	851	2448
258	860	2460
259	863	2458
260	867	2456
261	870	2452
262	874	2449
263	877	2447
264	881	2443
265	884	2440
266	887	2437
267	890	2433
268	894	2431
269	898	2428
270	901	2424
271	904	2422
272	908	2419
273	911	2416
274	915	2413
275	918	2410
276	922	2408
277	926	2405
278	929	2401
279	933	2401
280	937	2397
281	940	2394
282	944	2392
283	947	2388
284	951	2386
285	954	2383
286	957	2378
287	961	2376
288	964	2372
289	967	2368
290	976	2379
291	980	2377
292	983	2373
293	987	2370
294	990	2367
295	993	2364
296	997	2360
297	1000	2357
298	1003	2353
299	1007	2350
300	1010	2346
301	1013	2341
302	1016	2338
303	1019	2333
304	1022	2328
305	1024	2324
306	1027	2320
307	1030	2316
308	1033	2311
309	1036	2307
310	1039	2303
311	1042	2299
312	1045	2295
313	1048	2291
